RULE_NAME,PERIOD,DRIVER_NAME,SALES_MATCH,PRODUCT_MATCH,SCMS_MATCH,LEGAL_ENTITY_MATCH,BE_MATCH,SL1_SELECT,SCMS_SELECT,BE_SELECT,CREATED_BY,CREAYED_DATE,UPDATED_BY,UPDATED_DATE
REVPOS-SL2-NOWWDISTI-NOSCMS-ROLL3,ROLL3,REVPOS,SL2,,,,,NOT IN ( 'WW Distribution' ),"NOT IN ( 'NOT REQUIRED','OTHER','UNKNOWN' )",,amalakar,,,
SHIP-SL2-NOWWDIST-MTD,MTD,SHIPMENT,SL2,,,,,NOT IN ( 'WW Distribution' ),,,amalakar,,,
SHIPREV-SHIP-PL2-NOWWDIST-NOSCMS-ROLL3,ROLL3,SHIPREV,,,,,,NOT IN ( 'WW Distribution' ),"NOT IN ( 'NOT REQUIRED','OTHER','UNKNOWN' )",,,,moltman,
SERVMAP-PL3BE-MTD,MTD,SERVMAP,,PF,,Business Entity,,,,,amalakar,,,
VIP-PL3SL2-NOWWDIST-MTD,MTD,VIP,SL2,PF,,,,NOT IN ( 'WW Distribution' ),,,amalakar,,,
SHIP-PL3SL6-NOWWDIST-MTD,MTD,SHIPMENT,SL6,PF,,,,NOT IN ( 'WW Distribution' ),,,amalakar,,,
SHIP-SL2-NOWWDIST-ROLL3,ROLL3,SHIPMENT,SL2,,,,,NOT IN ( 'WW Distribution' ),,,amalakar,,,
SHIP-SL2-NOWWDIST-NOSCMS-ROLL3,ROLL3,SHIPMENT,SL2,,,,,NOT IN ( 'WW Distribution' ),"NOT IN ( 'NOT REQUIRED','OTHER','UNKNOWN' )",,amalakar,,,
SHIP-PL3SL3-ROLL3,ROLL3,SHIPMENT,SL3,PF,,,,,,,amalakar,,,
SHIP-SL3-NOWWDIST-ROLL3,ROLL3,SHIPMENT,SL3,,,,,NOT IN ( 'WW Distribution' ),,,amalakar,,,
SHIP-PL3SL2-NOWWDIST-ROLL3,ROLL3,SHIPMENT,SL2,PF,,,,NOT IN ( 'WW Distribution' ),,,amalakar,,,
SHIP-PL3SL2-NOWWDIST-NOSCMS-ROLL3,ROLL3,SHIPMENT,SL2,PF,,,,NOT IN ( 'WW Distribution' ),"NOT IN ( 'NOT REQUIRED','OTHER','UNKNOWN' )",,amalakar,,,
SHIP-IBESL2-NOWWDIST-ROLL3,ROLL3,SHIPMENT,SL2,,,,Internal BE,NOT IN ( 'WW Distribution' ),,,amalakar,,,
SHIP-PL3SL1-NOWWDIST-ROLL3,ROLL3,SHIPMENT,SL1,PF,,,,NOT IN ( 'WW Distribution' ),,,amalakar,,,
SHIP-SL2-NOWWDIST-ROLL6,ROLL6,SHIPMENT,SL2,,,,,NOT IN ( 'WW Distribution' ),,,amalakar,,,
SHIP-SL3-NOWWDIST-NOSCMS-ROLL3,ROLL3,SHIPMENT,SL3,,,,,NOT IN ( 'WW Distribution' ),"NOT IN ( 'NOT REQUIRED','OTHER','UNKNOWN' )",,amalakar,,,
SHIPREV-SHIP-PL3-NOWWDIST-NOSCMS-MTD,MTD,SHIPREV,,PF,,,,NOT IN ( 'WW Distribution' ),"NOT IN ( 'NOT REQUIRED','OTHER','UNKNOWN' )",,amalakar,,,
SHIPREV-REV-PL3-NMS-NOWWDIST-NOSCMS-MTD,MTD,SHIPREV,,PF,,,,NOT IN ( 'WW Distribution' ),"NOT IN ( 'NOT REQUIRED','OTHER','UNKNOWN' )",,amalakar,,,
SHIPREV-SHIP-PL3SL1-NOWWDIST-NOSCMS-MTD,MTD,SHIPREV,SL1,PF,,,,NOT IN ( 'WW Distribution' ),"NOT IN ( 'NOT REQUIRED','OTHER','UNKNOWN' )",,amalakar,,,
SHIP-PL3SL3-NOWWDIST-ROLL3,ROLL3,SHIPMENT,SL3,PF,,,,NOT IN ( 'WW Distribution' ),,,amalakar,,,
SHIP-SL2-ROLL3,ROLL3,SHIPMENT,SL2,,,,,,,,amalakar,,,
SHIP-PL2SL3-NOWWDIST-ROLL3,ROLL3,SHIPMENT,SL3,BU,,,,NOT IN ( 'WW Distribution' ),,,amalakar,,,
SHIP-BE-NOWWDIST-NOCORPADJ-ROLL3,ROLL3,SHIPMENT,,,,,Internal BE,"NOT IN ( 'Corp Adjustment','WW Distribution' )",,,amalakar,,,
SHIPREV-SHIP-PL3SL3-NOWWDIST-NOSCMS-ROLL3,ROLL3,SHIPREV,SL3,PF,,,,NOT IN ( 'WW Distribution' ),"NOT IN ( 'NOT REQUIRED','OTHER','UNKNOWN' )",,amalakar,,,
VIP-SL2-NOWWDIST-MTD,MTD,VIP,SL2,,,,,NOT IN ( 'WW Distribution' ),,,amalakar,,,
