SUB_MEASURE_NAME,RULE_NAME,SEQ_NUM,CREATED_BY,CREATE_DATE,UPDATED_BY,UPDATE_DATE
"FUTURE RETURNS","SHIP-BE-NOWWDIST-NOCORPADJ-ROLL3","1","system",8/12/2018 10:06:38 AM,"system",8/12/2018 10:06:38 AM
"OTHER AR RESERVES","SHIP-BE-NOWWDIST-NOCORPADJ-ROLL3","1","system",8/12/2018 10:06:38 AM,"system",8/12/2018 10:06:38 AM
"INDIRECT REWORK_FY07","SHIPREV-SHIP-NOWWDIST-NOSCMS-ROLL3-Excl SelSF","1","system",8/12/2018 10:06:38 AM,"system",8/12/2018 10:06:38 AM
"INDIRECT SELLBACK_FY07","SHIPREV-SHIP-NOWWDIST-NOSCMS-ROLL3","1","system",8/12/2018 10:06:38 AM,"system",8/12/2018 10:06:38 AM
"DIRECT MANUAL JV REWORK_FY07","SHIPREV-REV-PL2-NMS-NOWWDIST-NOSCMS-MTD","1","system",8/12/2018 10:06:38 AM,"system",8/12/2018 10:06:38 AM
"INDIRECT BULK MATERIAL < 1K$_FY07","SHIPREV-REV-NMS-NOWWDIST-NOSCMS-MTD","1","system",8/12/2018 10:06:38 AM,"system",8/12/2018 10:06:38 AM
"INDIRECT MANUAL JV CYCLE COUNT ADJUSTMENT_FY07","SHIPREV-SHIP-NOWWDIST-NOSCMS-ROLL3","1","system",8/12/2018 10:06:38 AM,"system",8/12/2018 10:06:38 AM
"WWRL EXPENSES INDIRECT","SHIPREV-SHIP-NOWWDIST-NOSCMS-ROLL3-Excl SelSF","1","system",8/12/2018 10:06:38 AM,"system",8/12/2018 10:06:38 AM
"WWRL EXPENSES INDIRECT 1K ","SHIPREV-SHIP-NOWWDIST-NOSCMS-ROLL3","1","system",8/12/2018 10:06:38 AM,"system",8/12/2018 10:06:38 AM
"FREIGHT","SHIP-BE-NOWWDIST-NOCORPADJ-MTD","1","system",8/12/2018 10:06:38 AM,"system",8/12/2018 10:06:38 AM
"INDIRECT COSTED BULK_FY07","SHIPREV-SHIP-NOWWDIST-NOSCMS-ROLL3","1","system",8/12/2018 10:06:38 AM,"system",8/12/2018 10:06:38 AM
"INDIRECT MRAP ASSIGNED CYCLE COUNT ADJUSTMENT_FY07","SHIPREV-SHIP-NOWWDIST-NOSCMS-ROLL3","1","system",8/12/2018 10:06:38 AM,"system",8/12/2018 10:06:38 AM
