subMeasureName,ruleName,seqNum,createdBy,createdDate,updatedBy,updatedDate
GLOBAL CHANNEL PROGRAMS,SHIP-PL3SL1-NOWWDIST-ROLL3,1,amalakar,,amalakar,2018-04-03T23:42:06.087Z
2TIER RMA,REVPOS-SL2-NOWWDISTI-NOSCMS-ROLL3,1,amalakar,,amalakar,2018-04-03T00:21:30.523Z
ADVANCE PURCHASE DIRECT,SHIPREV-SHIP-PL3-NOWWDIST-NOSCMS-ROLL3,1,amalakar,,amalakar,2018-04-03T00:23:02.205Z
BU PF SPECIFIC VIP ADJUSTMENTS,VIP-PL3SL2-NOWWDIST-MTD,1,amalakar,,amalakar,2018-04-03T18:48:21.579Z
CA AS-T REVENUE RECLASS,SHIP-PL3SL6-NOWWDIST-MTD,1,amalakar,,amalakar,2018-04-03T18:49:16.039Z
CA AS REVENUE RECLASS,SHIP-PL3SL6-NOWWDIST-MTD,1,amalakar,,amalakar,2018-04-03T18:49:57.503Z
ADVANCE PURCHASE INDIRECT,SHIP-NOCORPADJ-ROLL3,3,amalakar,,amalakar,2018-12-05T22:53:17.251Z
BU CREDIT MEMOS,SHIP-SL2-NOWWDIST-MTD,1,amalakar,,amalakar,2018-04-03T18:47:35.699Z
CA CE ASS GL ADJUSTMENT,SERVMAP-PL3BE-MTD,1,amalakar,,amalakar,2018-04-03T18:53:07.835Z
CA TSS REVENUE ADJUSTMENT,SHIP-PL3SL6-NOWWDIST-MTD,1,amalakar,,amalakar,2018-04-03T18:55:25.190Z
CENTRAL REVENUE ADJ,SHIP-SL2-NOWWDIST-MTD,1,amalakar,,amalakar,2018-04-03T20:43:47.097Z
CMEO DIRECT,SHIPREV-SHIP-PL3-NOWWDIST-NOSCMS-ROLL3,1,amalakar,,amalakar,2018-04-03T20:46:03.605Z
CMEO INDIRECT,SHIPREV-SHIP-PL3-NOWWDIST-NOSCMS-ROLL3,1,amalakar,,amalakar,2018-04-03T20:46:11.599Z
CA CE TSS GL ADJUSTMENT,SERVMAP-PL3BE-MTD,1,amalakar,,amalakar,2018-04-03T18:54:45.063Z
CONSUMPTION SUBSCRIPTION REVENUE ADJUSTMENTS,SHIP-PL3SL3-ROLL3,1,amalakar,,amalakar,2018-04-03T20:48:36.611Z
DEAL SPECIFIC,SHIP-SL3-NOWWDIST-ROLL3,1,amalakar,,amalakar,2018-04-03T22:07:57.171Z
CENTRAL REVENUE ADJ_COGS,SHIP-SL2-NOWWDIST-NOSCMS-ROLL3,1,amalakar,,amalakar,2018-04-03T20:45:35.000Z
DEAL SPECIFIC COST ACCTG CHANGE SL2PF,SHIP-PL3SL2-NOWWDIST-NOSCMS-ROLL3,1,amalakar,,amalakar,2018-04-03T22:08:53.159Z
DEAL SPECIFIC ACCTG CHANGE SL2PF,SHIP-PL3SL2-NOWWDIST-ROLL3,1,amalakar,,amalakar,2018-04-03T22:08:17.845Z
DEAL SPECIFIC_BE,SHIP-IBESL2-NOWWDIST-ROLL3,1,amalakar,,amalakar,2018-04-03T22:09:24.405Z
DEAL SPECIFIC_COST,SHIP-SL3-NOWWDIST-NOSCMS-ROLL3,1,amalakar,,amalakar,2018-04-03T22:09:49.300Z
DIEBANK INDIRECT,SHIPREV-SHIP-PL3-NOWWDIST-NOSCMS-ROLL3,1,amalakar,,amalakar,2018-04-03T22:10:48.526Z
DIEBANK DIRECT,SHIPREV-SHIP-PL3-NOWWDIST-NOSCMS-ROLL3,1,amalakar,,amalakar,2018-04-03T22:10:38.994Z
DIRECT DF BULK,SHIPREV-SHIP-PL3-NOWWDIST-NOSCMS-ROLL3,1,amalakar,,amalakar,2018-04-03T22:11:05.805Z
DIRECT MRAP ASSIGNED NON-STD MTL ACQ_FY07,SHIPREV-SHIP-PL3-NOWWDIST-NOSCMS-ROLL3,1,amalakar,,amalakar,2018-04-03T22:11:15.057Z
DEAL SPECIFIC_COST BE,SHIP-IBESL2-NOWWDIST-ROLL3,1,amalakar,,amalakar,2018-04-03T22:10:09.480Z
DIRECT PCP PPV,SHIPREV-SHIP-PL3-NOWWDIST-NOSCMS-ROLL3,1,amalakar,,amalakar,2018-04-03T22:11:26.023Z
DIRECT REVAL_FY07,SHIPREV-SHIP-PL3-NOWWDIST-NOSCMS-ROLL3,1,amalakar,,amalakar,2018-04-03T22:11:38.104Z
END OF LEASE REVENUE,SHIP-SL2-NOWWDIST-ROLL6,1,amalakar,,amalakar,2018-04-03T22:12:17.275Z
HUB EXPENSE DIRECT,SHIPREV-SHIP-PL3-NOWWDIST-NOSCMS-ROLL3,1,amalakar,,amalakar,2018-04-03T23:46:59.952Z
HUB MEMORY DIRECT,SHIPREV-SHIP-PL3-NOWWDIST-NOSCMS-ROLL3,1,amalakar,,amalakar,2018-04-03T23:47:11.727Z
HYBRID CHANNEL PROGRAMS,SHIP-PL3SL1-NOWWDIST-ROLL3,1,amalakar,,amalakar,2018-04-03T23:47:33.400Z
